"Date","Price","Open","High","Low","Change %"
"08/31/2023","1,552.76","1,552.76","1,552.76","1,469.20","5.74%"
"08/30/2023","1,468.50","1,468.50","1,468.50","1,429.36","2.73%"
"08/29/2023","1,429.48","1,453.15","1,453.15","1,429.48","-1.63%"
"08/28/2023","1,453.14","1,453.93","1,453.93","1,453.14","0.16%"
"08/25/2023","1,450.88","1,450.88","1,450.88","1,436.34","1.09%"
"08/24/2023","1,435.28","1,464.51","1,464.51","1,435.28","-1.93%"
"08/23/2023","1,463.46","1,494.17","1,494.17","1,463.46","-2.07%"
"08/22/2023","1,494.35","1,511.52","1,511.52","1,494.35","-1.05%"
"08/21/2023","1,510.21","1,537.26","1,537.26","1,510.21","-1.53%"
"08/18/2023","1,533.68","1,562.24","1,562.24","1,533.68","-1.83%"
"08/17/2023","1,562.28","1,562.28","1,562.28","1,520.74","2.84%"
"08/16/2023","1,519.11","1,519.11","1,519.11","1,517.06","0.12%"
"08/15/2023","1,517.27","1,517.27","1,517.27","1,436.06","5.73%"
"08/14/2023","1,434.98","1,434.98","1,434.98","1,380.91","4.15%"
"08/11/2023","1,377.80","1,388.62","1,388.62","1,377.80","-0.66%"
"08/10/2023","1,386.94","1,398.96","1,398.96","1,386.94","-0.75%"
"08/09/2023","1,397.43","1,397.43","1,397.43","1,396.51","0.05%"
"08/08/2023","1,396.69","1,396.69","1,396.69","1,358.96","2.80%"
"08/07/2023","1,358.69","1,359.95","1,359.95","1,358.69","0.13%"
"08/04/2023","1,356.86","1,452.31","1,452.31","1,356.86","-6.49%"
"08/03/2023","1,450.96","1,450.96","1,450.96","1,449.93","0.15%"
"08/02/2023","1,448.80","1,448.80","1,448.80","1,371.03","5.65%"
"08/01/2023","1,371.28","1,371.28","1,371.28","1,319.62","3.89%"
"07/31/2023","1,319.89","1,320.72","1,320.72","1,319.89","0.13%"
"07/28/2023","1,318.17","1,319.03","1,319.03","1,318.17","0.02%"
"07/27/2023","1,317.96","1,317.96","1,317.96","1,314.49","0.26%"
"07/26/2023","1,314.60","1,314.60","1,314.60","1,303.54","0.85%"
"07/25/2023","1,303.54","1,303.54","1,303.54","1,302.66","0.14%"
"07/24/2023","1,301.76","1,301.76","1,301.76","1,291.61","0.99%"
"07/21/2023","1,289.03","1,289.03","1,289.03","1,276.68","1.07%"
"07/20/2023","1,275.34","1,275.34","1,275.34","1,248.83","2.12%"
"07/19/2023","1,248.83","1,260.21","1,260.21","1,248.83","-0.94%"
"07/18/2023","1,260.64","1,260.64","1,260.64","1,248.02","0.98%"
"07/17/2023","1,248.43","1,260.59","1,260.59","1,248.43","-0.76%"
"07/14/2023","1,258.01","1,258.01","1,258.01","1,231.59","2.18%"
"07/13/2023","1,231.14","1,293.47","1,293.47","1,231.14","-4.89%"
"07/12/2023","1,294.40","1,431.85","1,431.85","1,294.40","-9.64%"
"07/11/2023","1,432.49","1,528.12","1,528.12","1,432.49","-6.32%"
"07/10/2023","1,529.07","1,582.43","1,582.43","1,529.07","-3.19%"
"07/07/2023","1,579.53","1,579.53","1,579.53","1,528.74","3.32%"
"07/06/2023","1,528.74","1,528.74","1,528.74","1,443.82","5.99%"
"07/05/2023","1,442.41","1,459.85","1,459.85","1,442.41","-1.16%"
"07/04/2023","1,459.41","1,536.24","1,536.24","1,459.41","-4.97%"
"07/03/2023","1,535.77","1,570.65","1,570.65","1,535.77","-1.98%"
"06/30/2023","1,566.86","1,591.83","1,591.83","1,566.86","-1.42%"
"06/29/2023","1,589.45","1,589.45","1,589.45","1,546.65","2.82%"
"06/28/2023","1,545.85","1,547.49","1,547.49","1,545.85","-0.09%"
"06/27/2023","1,547.20","1,552.16","1,552.16","1,547.20","-0.25%"
"06/26/2023","1,551.03","1,551.03","1,551.03","1,537.06","1.02%"
"06/23/2023","1,535.36","1,543.64","1,543.64","1,535.36","-0.50%"
"06/22/2023","1,543.02","1,575.77","1,575.77","1,543.02","-2.01%"
"06/21/2023","1,574.61","1,600.94","1,600.94","1,574.61","-1.64%"
"06/20/2023","1,600.86","1,600.86","1,600.86","1,544.99","3.63%"
"06/19/2023","1,544.74","1,544.74","1,544.74","1,514.96","2.17%"
"06/16/2023","1,511.87","1,511.87","1,511.87","1,451.32","4.29%"
"06/15/2023","1,449.68","1,449.68","1,449.68","1,401.37","3.51%"
"06/14/2023","1,400.51","1,400.51","1,400.51","1,397.43","0.20%"
"06/13/2023","1,397.75","1,398.78","1,398.78","1,397.75","-0.10%"
"06/12/2023","1,399.17","1,449.91","1,449.91","1,399.17","-3.27%"
"06/09/2023","1,446.51","1,470.78","1,470.78","1,446.51","-1.65%"
"06/08/2023","1,470.76","1,472.42","1,472.42","1,470.76","-0.01%"
"06/07/2023","1,470.93","1,647.60","1,647.60","1,470.93","-10.77%"
"06/06/2023","1,648.43","1,648.43","1,648.43","1,647.65","0.12%"
"06/05/2023","1,646.49","1,742.40","1,742.40","1,646.49","-5.17%"
