"Date","Price","Open","High","Low","Change %"
"04/06/2022","212.81","204.27","212.81","204.27","3.46%"
"04/05/2022","205.70","205.10","205.70","205.10","0.11%"
"04/04/2022","205.47","205.10","205.47","205.10","0.05%"
"04/01/2022","205.36","202.47","205.36","202.47","0.78%"
"03/31/2022","203.77","199.37","203.77","199.37","0.99%"
"03/30/2022","201.77","197.32","201.77","197.32","0.99%"
"03/29/2022","199.79","207.29","207.29","199.79","-3.79%"
"03/28/2022","207.67","207.39","207.67","207.39","-0.55%"
"03/25/2022","208.81","207.21","208.81","207.21","-0.91%"
"03/24/2022","210.72","207.30","210.72","207.30","0.13%"
"03/23/2022","210.44","206.20","210.44","206.20","1.98%"
"03/22/2022","206.35","204.32","206.35","204.32","0.24%"
"03/21/2022","205.86","201.45","205.86","201.45","6.51%"
"03/18/2022","193.28","190.76","193.28","190.76","0.25%"
"03/17/2022","192.80","197.64","197.64","192.80","-6.91%"
"03/16/2022","207.12","208.34","208.34","207.12","-1.48%"
"03/15/2022","210.23","212.65","212.65","210.23","-1.31%"
"03/14/2022","213.02","212.44","213.02","212.44","-0.63%"
"03/11/2022","214.38","218.09","218.09","214.38","-2.22%"
"03/10/2022","219.24","212.27","219.24","212.27","2.00%"
"03/09/2022","214.94","231.70","231.70","214.94","-7.54%"
"03/08/2022","232.47","236.72","236.72","232.47","-2.23%"
"03/07/2022","237.77","231.68","237.77","231.68","1.70%"
"03/04/2022","233.79","224.91","233.79","224.91","2.98%"
"03/03/2022","227.03","226.83","227.03","226.83","-0.12%"
"03/02/2022","227.31","225.96","227.31","225.96","0.34%"
"03/01/2022","226.54","222.08","226.54","222.08","0.91%"
"02/28/2022","224.50","212.12","224.50","212.12","3.79%"
"02/25/2022","216.31","236.86","236.86","216.31","-10.51%"
"02/24/2022","241.72","214.03","241.72","214.03","11.43%"
"02/23/2022","216.92","215.35","216.92","215.35","0.45%"
"02/22/2022","215.94","215.20","215.94","215.20","0.06%"
"02/21/2022","215.82","206.48","215.82","206.48","3.30%"
"02/18/2022","208.92","204.55","208.92","204.55","1.16%"
"02/17/2022","206.53","205.41","206.53","205.41","0.25%"
"02/16/2022","206.02","207.41","207.41","206.02","-0.98%"
"02/15/2022","208.05","212.29","212.29","208.05","-3.27%"
